类别,科目编码,科目名称,余额方向,说明
一、资产类,,,,
资产,1001,库存现金,借,
资产,1001.01,人民币现金,借,
资产,1001.02,外币现金,借,按币种设辅助核算
资产,1002,银行存款,借,必须开启“银行账户”辅助核算
资产,1002.01,基本存款户,借,
资产,1002.02,一般存款户,借,
资产,1002.03,专用存款户,借,如农民工工资专户、党费专户等
资产,1002.04,临时存款户,借,
资产,1002.05,境外银行存款,借,
资产,1012,其他货币资金,借,
资产,1012.01,银行汇票存款,借,
资产,1012.02,银行本票存款,借,
资产,1012.03,信用卡存款,借,
资产,1012.04,信用证保证金,借,
资产,1012.05,存出投资款,借,证券账户资金
资产,1012.06,外埠存款,借,
资产,1101,交易性金融资产,借,
资产,1101.01,成本,借,
资产,1101.01.01,股票投资,借,
资产,1101.01.02,债券投资,借,
资产,1101.01.03,基金投资,借,
资产,1101.02,公允价值变动,借/贷,
资产,1121,应收票据,借,
资产,1121.01,银行承兑汇票,借,建议按“客户”辅助核算
资产,1121.02,商业承兑汇票,借,需计提坏账，风险较高
资产,1122,应收账款,借,必须开启“客户”辅助核算
资产,1122.01,国内客户,借,
资产,1122.02,国外客户,借,
资产,1122.03,关联方客户,借,国企内部交易需单独标识
资产,1123,预付账款,借,必须开启“供应商”辅助核算
资产,1123.01,预付货款,借,
资产,1123.02,预付工程款,借,
资产,1131,应收股利,借,
资产,1132,应收利息,借,
资产,1221,其他应收款,借,国企清理往来款的重点科目
资产,1221.01,应收赔款,借,
资产,1221.02,应收租金,借,
资产,1221.03,备用金,借,按“个人/部门”辅助核算
资产,1221.03.01,行政备用金,借,
资产,1221.03.02,差旅备用金,借,
资产,1221.04,押金保证金,借,投标保证金、履约保证金等
资产,1221.05,代垫款项,借,代垫社保、水电等
资产,1221.06,补偿性资产(流动),借,2026新规：非同一控制合并中1年内可收回的补偿
资产,1221.07,其他,借,
资产,1231,坏账准备,贷,资产备抵科目
资产,1231.01,应收账款坏账准备,贷,
资产,1231.02,其他应收款坏账准备,贷,
资产,1231.03,应收票据坏账准备,贷,
资产,1403,原材料,借,开启“存货分类/规格”数量金额核算
资产,1403.01,原料及主要材料,借,
资产,1403.02,辅助材料,借,
资产,1403.03,外购半成品,借,
资产,1403.04,修理用备件,借,
资产,1403.05,包装材料,借,
资产,1403.06,燃料,借,
资产,1405,库存商品,借,开启“产品型号”数量金额核算
资产,1405.01,产成品,借,
资产,1405.02,外购商品,借,
资产,1411,周转材料,借,
资产,1411.01,包装物,借,
资产,1411.02,低值易耗品,借,
资产,1411.02.01,在库,借,
资产,1411.02.02,在用,借,
资产,1411.02.03,摊销,借,贷方余额反映已摊销额
资产,1471,存货跌价准备,贷,
资产,1501,债权投资,借,
资产,1501.01,成本,借,
资产,1501.02,利息调整,借/贷,
资产,1501.03,应计利息,借,
资产,1511,长期股权投资,借,开启“被投资单位”辅助核算
资产,1511.01,投资成本,借,
资产,1511.02,损益调整,借/贷,
资产,1511.03,其他综合收益,借/贷,
资产,1511.04,其他权益变动,借/贷,
资产,1512,长期股权投资减值准备,贷,
资产,1601,固定资产,借,开启“资产卡片”管理
资产,1601.01,房屋及建筑物,借,
资产,1601.02,机器设备,借,
资产,1601.03,运输工具,借,公车改革后重点监控
资产,1601.04,电子设备,借,
资产,1601.05,办公家具,借,
资产,1601.06,土地资产(单独估价),借,历史遗留问题，现多入无形资产
资产,1602,累计折旧,贷,与固定资产二级对应
资产,1602.01,房屋建筑物折旧,贷,
资产,1602.02,机器设备折旧,贷,
资产,1602.03,运输工具折旧,贷,
资产,1602.04,电子设备折旧,贷,
资产,1603,固定资产减值准备,贷,
资产,1604,在建工程,借,开启“工程项目”辅助核算
资产,1604.01,建筑工程,借,
资产,1604.02,安装工程,借,
资产,1604.03,在安装设备,借,
资产,1604.04,待摊支出,借,管理费、可行性研究费、临时设施费等
资产,1605,工程物资,借,
资产,1606,固定资产清理,借/贷,
资产,1701,无形资产,借,
资产,1701.01,土地使用权,借,国企资产大头
资产,1701.02,专利权,借,
资产,1701.03,非专利技术,借,
资产,1701.04,商标权,借,
资产,1701.05,著作权,借,
资产,1701.06,软件,借,ERP、财务软件等
资产,1702,累计摊销,贷,
资产,1702.01,土地使用权摊销,贷,
资产,1702.02,软件摊销,贷,
资产,1703,无形资产减值准备,贷,
资产,1801,长期待摊费用,借,
资产,1801.01,租入固定资产改良支出,借,
资产,1801.02,大修理支出,借,
资产,1801.03,补偿性资产(非流动),借,2026新规：1年以上收回的补偿权利
资产,1811,递延所得税资产,借,
资产,1901,待处理财产损溢,借/贷,期末应无余额
二、负债类,,,,
负债,2001,短期借款,贷,
负债,2001.01,信用借款,贷,
负债,2001.02,抵押借款,贷,
负债,2001.03,保证借款,贷,
负债,2001.04,质押借款,贷,
负债,2201,应付票据,贷,
负债,2201.01,银行承兑汇票,贷,
负债,2201.02,商业承兑汇票,贷,
负债,2202,应付账款,贷,必须开启“供应商”辅助核算
负债,2202.01,国内供应商,贷,
负债,2202.02,国外供应商,贷,
负债,2202.03,关联方供应商,贷,
负债,2203,合同负债,贷,新收入准则，不含税
负债,2203.01,预收货款,贷,
负债,2203.02,预收服务费,贷,
负债,2211,应付职工薪酬,贷,
负债,2211.01,工资,贷,
负债,2211.01.01,基本工资,贷,
负债,2211.01.02,绩效奖金,贷,
负债,2211.01.03,年终加薪,贷,
负债,2211.01.04,津贴补贴,贷,交通、通讯、高温、取暖等
负债,2211.01.05,加班工资,贷,
负债,2211.02,职工福利费,贷,
负债,2211.02.01,货币性福利,贷,慰问金、困难补助
负债,2211.02.02,非货币性福利,贷,实物发放、免费餐饮
负债,2211.02.03,职工体检费,贷,
负债,2211.02.04,抚恤金/丧葬补助,贷,
负债,2211.03,社会保险费,贷,企业承担部分
负债,2211.03.01,基本养老保险,贷,
负债,2211.03.02,基本医疗保险,贷,
负债,2211.03.03,失业保险,贷,
负债,2211.03.04,工伤保险,贷,
负债,2211.03.05,生育保险,贷,
负债,2211.04,住房公积金,贷,企业承担部分
负债,2211.05,工会经费,贷,工资总额2%
负债,2211.06,职工教育经费,贷,工资总额1.5%-8%
负债,2211.06.01,岗前培训,贷,
负债,2211.06.02,在岗培训,贷,
负债,2211.06.03,继续教育,贷,
负债,2211.07,辞退福利,贷,
负债,2211.07.01,强制辞退补偿,贷,
负债,2211.07.02,自愿离职补偿,贷,
负债,2211.08,带薪缺勤,贷,未休年假补偿
负债,2221,应交税费,贷,
负债,2221.01,应交增值税,借/贷,多栏式核算
负债,2221.01.01,进项税额,借,
负债,2221.01.02,已交税金,借,
负债,2221.01.03,减免税款,借,
负债,2221.01.04,出口抵减内销应纳税额,借,
负债,2221.01.05,转出未交增值税,借,
负债,2221.01.06,销项税额,贷,
负债,2221.01.07,出口退税,贷,
负债,2221.01.08,进项税额转出,贷,
负债,2221.01.09,转出多交增值税,贷,
负债,2221.02,未交增值税,贷,
负债,2221.03,预交增值税,借,
负债,2221.04,待抵扣进项税额,借,
负债,2221.05,待认证进项税额,借,
负债,2221.06,待转销项税额,贷,
负债,2221.07,简易计税,贷,
负债,2221.08,转让金融商品应交增值税,贷,
负债,2221.09,代扣代交增值税,贷,
负债,2221.1,应交消费税,贷,
负债,2221.11,应交资源税,贷,
负债,2221.12,应交土地增值税,贷,
负债,2221.13,应交城建税,贷,
负债,2221.14,应交房产税,贷,
负债,2221.15,应交土地使用税,贷,
负债,2221.16,应交车船税,贷,
负债,2221.17,应交企业所得税,贷,
负债,2221.18,应交个人所得税,贷,代扣代缴
负债,2221.19,应交教育费附加,贷,
负债,2221.2,应交地方教育附加,贷,
负债,2221.21,应交印花税,贷,
负债,2221.22,应交环境保护税,贷,
负债,2241,其他应付款,贷,
负债,2241.01,应付赔款,贷,
负债,2241.02,存入保证金,贷,
负债,2241.03,代扣代缴款项,贷,代扣社保个人部分、房租等
负债,2241.04,应付股利(未宣告),贷,
负债,2241.05,应付补偿款,贷,2026新规：非同一控制合并中的补偿义务
负债,2241.06,其他,贷,
负债,2501,长期借款,贷,
负债,2501.01,本金,贷,
负债,2501.02,利息调整,借/贷,
负债,2502,应付债券,贷,
负债,2502.01,面值,贷,
负债,2502.02,利息调整,借/贷,
负债,2502.03,应计利息,贷,
负债,2701,长期应付款,贷,
负债,2701.01,应付融资租赁款,贷,
负债,2701.02,具有融资性质的延期付款,贷,
负债,2702,未确认融资费用,借,长期应付款的备抵科目
负债,2801,预计负债,贷,
负债,2801.01,未决诉讼,贷,
负债,2801.02,产品质量保证,贷,
负债,2801.03,亏损合同,贷,
负债,2801.04,重组义务,贷,
负债,2901,递延所得税负债,贷,
三、共同类,,,,
共同,3101,衍生工具,借/贷,
共同,3201,套期工具,借/贷,
共同,3202,被套期项目,借/贷,
四、所有者权益类,,,,
权益,4001,实收资本,贷,
权益,4001.01,国家资本,贷,
权益,4001.02,法人资本,贷,
权益,4001.03,个人资本,贷,
权益,4001.04,外商资本,贷,
权益,4002,资本公积,贷,
权益,4002.01,资本溢价,贷,
权益,4002.02,其他资本公积,贷,权益法核算、股份支付等
权益,4101,盈余公积,贷,
权益,4101.01,法定盈余公积,贷,
权益,4101.02,任意盈余公积,贷,
权益,4103,本年利润,借/贷,年末结转后无余额
权益,4104,利润分配,借/贷,
权益,4104.01,提取法定盈余公积,借,
